NoCreditHistory,AverageMInFile,ExternalRiskEstimate,NumTotalTrades,MSinceMostRecentDelq,Total_Debt_Burden,NumInqLast6M
0,56,67,32,13,56,3
0,56,56,26,20,62,3
0,104,88,26,55,6,0
0,59,77,45,59,75,2
0,18,60,15,55,136,1
0,24,64,11,55,79,0
0,97,80,34,55,8,0
0,138,77,16,50,11,0
0,93,76,11,40,0,0
0,71,68,23,9,95,1
0,95,72,38,32,88,0
0,62,69,8,11,134,0
0,48,69,21,55,152,1
0,84,89,7,55,8,1
0,102,57,10,80,0,1
0,87,86,16,55,109,1
0,76,65,35,17,123,1
0,75,74,31,55,114,5
0,165,89,14,55,54,1
0,54,71,18,26,95,1
0,87,67,6,1,51,1
0,79,74,30,55,188,0
0,113,63,10,5,97,0
0,76,60,30,1,154,4
0,108,56,17,1,93,1
0,62,55,22,3,39,2
0,95,61,32,2,81,4
0,126,73,27,44,53,4
0,105,74,19,9,80,0
0,109,64,26,18,130,3
0,52,77,34,55,112,0
0,66,83,25,32,7,0
0,44,80,19,58,86,0
0,67,55,14,1,115,9
0,64,86,18,55,90,3
0,155,57,5,4,0,4
0,76,80,16,55,86,0
0,99,92,28,55,0,0
0,74,87,17,55,0,1
0,99,59,26,4,40,1
0,62,65,40,26,111,1
0,63,80,11,21,73,1
0,33,62,10,55,199,0
0,54,76,24,80,106,1
0,80,81,29,55,4,4
0,17,68,0,55,11,3
0,98,72,32,12,84,7
0,89,58,14,12,82,4
0,120,78,12,10,0,1
0,85,71,40,55,85,4
0,81,83,32,55,70,1
0,39,76,23,55,8,2
1,0,0,0,0,0,0
0,112,56,32,4,100,4
0,23,54,6,3,147,0
0,157,89,6,55,0,1
0,50,65,30,15,128,1
0,89,91,12,55,24,2
0,67,85,10,55,0,2
0,65,70,27,37,114,2
0,96,77,14,55,75,2
0,78,73,40,55,13,1
0,73,68,30,23,142,0
0,52,61,17,51,11,1
0,66,76,47,55,91,4
0,64,79,12,55,22,1
0,55,78,17,55,64,0
1,0,0,0,0,0,0
0,98,57,9,4,161,0
0,64,79,32,68,45,1
0,89,65,9,8,124,4
0,70,81,9,55,101,1
0,66,79,13,55,129,0
0,26,78,39,55,84,2
0,42,71,24,40,125,4
0,35,61,21,3,67,2
0,44,76,11,55,111,1
0,125,84,27,55,79,0
0,110,73,22,45,70,2
0,15,69,14,55,100,5
0,104,85,46,46,78,0
0,102,78,39,17,116,0
0,82,89,27,55,0,0
0,123,65,8,55,98,2
0,77,87,8,55,19,0
0,15,65,9,55,160,3
0,196,89,6,55,6,0
0,73,72,7,0,159,0
0,42,68,22,55,78,2
0,37,60,48,6,121,1
0,95,65,17,0,94,1
0,54,73,27,55,77,0
1,0,0,0,0,0,0
0,36,54,38,8,153,9
0,111,84,20,55,59,1
0,75,73,19,55,190,0
1,0,0,0,0,0,0
0,69,77,14,55,132,5
0,13,60,3,55,94,0
0,63,81,21,55,98,0
0,11,66,5,55,146,2
0,95,60,49,3,104,8
0,62,59,28,3,137,1
0,95,71,24,0,174,1
0,68,63,26,55,73,3
0,80,77,27,55,36,2
0,98,76,31,10,89,0
0,95,79,28,70,34,2
0,88,72,43,10,5,3
0,68,70,34,13,73,2
0,86,72,26,0,1,2
0,80,60,42,30,136,1
0,113,64,37,46,53,1
0,50,61,5,14,74,0
0,46,77,33,55,94,4
0,48,68,4,67,28,1
0,96,66,41,26,131,4
0,70,58,31,3,111,0
0,90,63,29,2,147,5
0,96,68,34,68,162,4
0,117,71,60,55,82,2
0,63,65,25,25,172,4
0,49,70,12,55,57,0
0,99,57,23,0,93,0
0,96,81,24,77,0,0
0,155,86,29,55,12,0
0,57,70,24,0,51,0
0,100,79,37,55,79,1
0,108,66,14,55,18,2
1,0,0,0,0,0,0
1,0,0,0,0,0,0
0,84,74,44,23,18,2
0,112,87,3,55,32,0
0,112,88,0,55,88,1
0,132,91,7,55,0,1
0,121,74,21,26,90,1
0,70,77,14,14,0,0
0,53,75,25,55,52,1
0,106,88,18,55,14,0
0,60,84,23,55,92,0
0,233,92,5,55,0,0
0,19,64,11,55,170,1
0,54,58,34,55,145,1
0,64,74,34,55,152,1
0,73,66,35,63,194,2
0,6,72,2,55,66,4
0,60,66,37,55,138,3
0,49,68,20,5,13,0
0,79,71,15,9,77,2
0,82,83,26,55,91,0
0,58,73,79,12,78,1
0,38,68,10,29,131,3
0,5,60,5,55,36,7
0,111,82,24,55,47,0
0,89,82,26,43,99,0
0,56,63,6,53,97,2
0,28,69,3,55,95,2
0,140,74,28,72,42,0
0,92,56,27,5,87,8
0,91,82,31,21,91,0
1,0,0,0,0,0,0
0,52,84,18,55,76,1
0,44,61,10,9,78,2
0,56,75,40,55,117,1
0,57,64,4,57,0,2
0,51,73,16,55,31,3
0,22,64,15,13,130,6
0,71,74,24,55,130,0
0,72,88,14,55,4,0
0,73,85,13,55,19,2
0,108,67,12,8,60,1
0,113,65,21,25,154,1
0,23,67,4,55,86,0
0,85,70,31,21,136,4
0,67,70,12,3,123,1
0,139,91,12,55,1,0
1,0,0,0,0,0,0
0,73,65,24,27,31,2
0,63,62,17,27,50,1
0,86,72,21,55,170,0
0,84,89,25,55,10,1
0,71,58,26,5,142,0
0,94,86,27,55,33,0
0,91,85,29,55,64,0
0,77,89,41,55,1,1
0,96,79,53,24,10,2
0,89,68,23,53,170,0
0,61,72,27,5,82,1
0,181,69,10,3,7,9
0,87,81,37,55,90,3
1,0,0,0,0,0,0
0,90,67,4,55,115,0
0,97,83,10,55,46,1
0,113,90,27,55,1,0
0,85,86,21,55,11,0
0,71,85,23,55,94,2
0,82,75,31,13,109,3
0,71,84,15,55,88,0
0,36,68,20,55,110,2
0,100,65,46,6,83,4
0,72,54,12,1,91,3
0,80,84,38,55,89,1
0,46,70,19,25,114,0
0,58,77,16,52,70,2
0,95,81,34,55,67,1
0,48,61,11,55,159,0
0,78,69,10,9,103,2
0,87,74,21,19,118,2
0,79,87,32,55,25,2
0,199,62,13,1,57,1
0,49,81,12,55,27,0
0,95,57,5,11,62,0
0,90,81,33,55,76,4
0,94,73,10,8,109,1
0,40,70,16,60,76,0
0,92,67,27,55,137,0
0,62,81,36,55,4,0
0,100,84,51,55,87,0
0,72,56,22,3,110,2
0,96,86,38,55,0,0
0,67,70,20,57,130,0
0,83,73,66,55,87,1
0,53,76,25,55,97,0
0,69,59,46,4,92,0
0,90,83,16,37,64,0
0,77,77,31,55,118,0
0,30,62,7,14,189,2
1,0,0,0,0,0,0
0,64,76,40,55,100,0
0,92,84,42,55,8,3
0,82,70,37,55,119,3
1,0,0,0,0,0,0
0,53,72,24,50,79,0
0,79,84,22,55,90,1
0,64,56,31,55,195,3
0,127,88,24,55,2,2
1,0,0,0,0,0,0
0,92,89,16,55,45,0
0,70,63,31,16,15,2
0,46,59,0,55,135,5
0,46,77,17,55,105,2
0,62,77,38,55,119,3
0,88,86,15,55,5,0
0,92,65,24,1,76,2
0,87,77,46,55,49,1
0,60,71,40,55,142,3
0,69,76,5,25,78,1
0,59,83,32,55,99,3
0,128,90,32,55,79,0
0,67,68,40,24,101,2
0,198,87,7,55,13,0
1,0,0,0,0,0,0
0,65,51,18,1,173,0
0,54,83,22,55,109,0
0,197,79,21,55,117,0
0,135,63,26,2,105,2
0,63,64,21,72,140,6
0,65,70,20,40,75,0
0,38,66,19,39,174,2
0,77,84,18,55,3,0
0,35,81,10,37,0,2
0,71,75,9,25,2,0
0,89,65,23,2,124,0
0,141,86,6,55,9,2
1,0,0,0,0,0,0
0,107,55,15,2,136,0
0,66,66,9,64,72,3
0,72,59,19,3,115,0
0,80,80,29,55,45,0
0,26,64,7,11,95,0
0,19,64,7,14,92,1
0,66,67,40,11,20,4
0,89,65,51,44,144,3
0,75,72,21,46,107,0
0,62,86,2,55,7,1
0,101,69,19,2,111,2
0,159,71,16,10,121,0
0,62,67,15,28,79,0
0,86,76,30,22,123,1
0,53,57,44,12,143,2
0,65,56,24,18,66,9
0,43,55,5,38,68,0
0,75,62,10,6,141,2
0,62,63,20,12,155,2
0,72,66,17,4,137,1
1,0,0,0,0,0,0
0,92,79,23,59,80,0
0,84,85,7,55,70,0
0,91,66,34,28,91,1
0,96,62,12,12,63,2
0,78,87,46,55,96,0
0,89,72,29,55,56,0
0,64,68,21,12,133,0
0,51,44,16,3,163,3
0,98,72,19,54,43,0
0,108,81,24,55,96,0
0,109,90,15,55,13,1
0,119,72,22,55,81,0
0,115,82,27,55,118,0
0,19,81,3,55,3,2
0,84,84,44,55,103,2
0,105,59,20,8,123,0
0,55,64,9,7,28,0
0,112,66,40,8,127,1
0,93,86,7,55,12,0
0,19,54,4,55,33,2
1,0,0,0,0,0,0
0,60,60,9,6,81,0
0,113,77,29,55,118,1
0,83,65,9,55,37,2
0,81,55,21,3,143,3
0,131,68,78,3,24,5
0,23,74,16,55,13,2
0,76,67,34,0,163,3
0,194,65,45,2,94,1
0,35,78,13,55,94,0
0,39,81,2,55,87,0
0,115,74,17,3,0,0
0,49,62,19,55,97,4
0,72,84,8,55,65,0
0,88,68,11,3,6,2
0,46,63,21,5,142,2
0,58,69,20,19,83,1
0,87,66,22,16,66,5
0,83,73,7,55,167,2
0,63,62,33,5,3,0
0,15,61,17,55,81,1
0,93,60,15,6,95,0
0,27,70,51,55,197,1
0,86,68,57,2,70,2
0,48,63,17,4,138,3
0,58,81,29,55,99,1
0,184,81,16,55,88,0
0,76,68,18,7,110,2
0,104,75,36,55,113,0
0,43,67,28,55,145,3
0,68,68,28,6,66,1
0,102,59,9,7,100,0
0,65,80,17,55,88,0
0,110,74,34,36,80,0
0,72,84,23,55,56,0
0,102,64,38,55,3,3
0,121,79,16,9,6,0
0,138,88,8,55,2,0
0,109,83,17,26,62,0
1,0,0,0,0,0,0
0,92,88,25,55,11,0
0,98,57,45,7,54,5
0,60,75,9,55,155,1
0,100,55,11,1,132,0
0,77,83,14,55,90,0
